"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.023503875E0,5.267333984E-2,2.562396240E1,-4.263555908E1,4.974315151E1
2.033528875E0,-1.558837891E-1,2.539123535E1,-4.277804565E1,4.974635989E1
2.043554875E0,1.567306519E-1,2.526019287E1,-4.280197144E1,4.970020792E1
2.053580875E0,1.423263550E-1,2.520202637E1,-4.236663818E1,4.929598788E1
2.063606875E0,3.158569336E-2,2.528820801E1,-4.257284546E1,4.951708425E1
2.073631875E0,4.145050049E-2,2.539840698E1,-4.263253784E1,4.962473253E1
2.083657875E0,-1.103439331E-1,2.547177124E1,-4.286581421E1,4.986282517E1
2.093682875E0,5.021667480E-2,2.537454224E1,-4.256820679E1,4.955726127E1
2.103708875E0,1.041336060E-1,2.532601929E1,-4.242471313E1,4.940925400E1
2.113734875E0,1.186904907E-1,2.529162598E1,-4.270950317E1,4.963649961E1
2.123760875E0,1.711654663E-1,2.526074219E1,-4.257376099E1,4.950413637E1
2.133785875E0,1.679077148E-1,2.512463379E1,-4.307406616E1,4.986632723E1
2.143811875E0,-9.262084961E-3,2.542343140E1,-4.271856689E1,4.971143638E1
2.153837875E0,1.300506592E-1,2.532305908E1,-4.247463989E1,4.945067511E1
2.163862875E0,-6.637573242E-3,2.534112549E1,-4.272583008E1,4.967564032E1
2.173888875E0,4.153442383E-2,2.548123169E1,-4.258642578E1,4.962759872E1
2.183914875E0,-3.707885742E-2,2.543377686E1,-4.313333130E1,5.007357236E1
2.193939875E0,1.803131104E-1,2.549786377E1,-4.264822388E1,4.968948148E1
2.203965875E0,2.341308594E-1,2.558151245E1,-4.276004028E1,4.982860265E1
2.213991875E0,1.451568604E-1,2.542266846E1,-4.285372925E1,4.982745481E1
2.224016875E0,1.731872559E-3,2.588446045E1,-4.285852051E1,5.006853379E1
2.234042875E0,-1.282196045E-1,2.570315552E1,-4.305200195E1,5.014123568E1
2.244068875E0,1.046295166E-1,2.571853638E1,-4.272543335E1,4.986899553E1
2.254093875E0,1.631622314E-1,2.542648315E1,-4.247546387E1,4.950452200E1
2.264119875E0,1.535034180E-2,2.534701538E1,-4.274765015E1,4.969741459E1
2.274145875E0,1.585540771E-1,2.559277344E1,-4.276385498E1,4.983736033E1
2.284170875E0,-1.555633545E-2,2.543881226E1,-4.314462280E1,5.008584518E1
2.294196875E0,-4.182434082E-2,2.548126221E1,-4.285351562E1,4.985699825E1
2.304222875E0,5.917358398E-2,2.524197388E1,-4.264208984E1,4.955308843E1
2.314247875E0,-4.318237305E-2,2.572705078E1,-4.275396729E1,4.989774269E1
2.324273875E0,-1.144409180E-1,2.591894531E1,-4.258105469E1,4.984928326E1
2.334299875E0,-2.044219971E-1,2.549938965E1,-4.301977539E1,5.000961643E1
2.344324875E0,-1.078033447E-2,2.565170288E1,-4.271130371E1,4.982233878E1
2.354350875E0,6.764221191E-2,2.558648682E1,-4.257357788E1,4.967074005E1
